SKU,Marca,Modelo,PrecioNormal,PrecioInternet,Descripcion,Imagen,Categoria1,Categoria2,Categoria3,Categoria4,Categoria5,Categoria6,Categoria7,Categoria8
3619611,Biotherm,Estuche Aquapower 75 ml + Espuma de Afeitar 50 ml,0,19990,a,http://integra.ing.puc.cl/IMAGENESTI/3619611.jpeg,Belleza,Belleza Hombre,Cremas y Tratamientos,,,,,
3535697,Bten,"Funda Notebook 13"" Negro/Gris",9990,3990,a,http://integra.ing.puc.cl/IMAGENESTI/3535697.jpeg,Falabella TV,Oportunidades,Soluciones y conveniencia,,,,,
3607480,Desigual,Cartera NewYork  Pavo Real,64990,44990,a,http://integra.ing.puc.cl/IMAGENESTI/3607480.jpeg,Moda  ,Carteras,,,,,,
3669716,Philips,Secador de Pelo 1600 Watts + Depiladora,25990,19990,a,http://integra.ing.puc.cl/IMAGENESTI/3669716.jpeg,Electrohogar,Cuidado Personal,Onduladores,,,,,
880159182,Mossimo,Sweater Rayas Negro,17990,14990,a,http://integra.ing.puc.cl/IMAGENESTI/880159182.jpeg,Moda  ,Marcas Moda,Desigual,Mossimo,,,,
3363144,Benefit,Polvos Compactos ,0,19490,a,http://integra.ing.puc.cl/IMAGENESTI/3363144.jpeg,Belleza,Marcas Belleza,Benefit,,,,,
880111368,Basement,Camisa Zipper Gris,0,17990,a,http://integra.ing.puc.cl/IMAGENESTI/880111368.jpeg,Moda  ,Vestuario Hombre,Camisas,,,,,
2201906,Epson,Tinta 73N Cyan,0,5990,a,http://integra.ing.puc.cl/IMAGENESTI/2201906.jpeg,Escolares,,,,,,,
3211117,Basement Home,Banqueta Lisboa Listada blanco/negro,169900,119990,a,http://integra.ing.puc.cl/IMAGENESTI/3211117.jpeg,Muebles,Living,Arrimos,,,,,
3350174,Mica,Silla Birkka Respaldo XX Blanca,59990,29990,a,http://integra.ing.puc.cl/IMAGENESTI/3350174.jpeg,Muebles,Comedor,Mesas de Comedor,,,,,
3451978,Light My Fire,Servicio 3 en 1 Spork O,12990,9990,a,http://integra.ing.puc.cl/IMAGENESTI/3451978.jpeg,Deportes,Otros Deportes,Camping ,Accesorios Camping,,,,
